img,attack,log10_pvalue,R,marked,param0
5,brightness,-16.343666196605177,246455.21875,True,2.0
5,hue,-21.92919446126059,485825.40625,True,-0.5
5,hue,-38.52548538209992,1005963.5,True,-0.25
5,hue,-73.92516563003086,3599773.0,True,0.0
5,hue,-32.57844469902454,971568.25,True,0.25
5,hue,-21.850056513404592,479911.09375,True,0.5
5,hue,-38.427816612223154,1208997.5,True,0.2
6,none,-37.8081191336656,1857522.125,True,-1.0
6,meme_format,-8.119873087225862,30547.03125,True,-1.0
6,overlay_onto_screenshot,-0.23709055513933402,-29453.73828125,False,-1.0
6,rotation,-37.8081191336656,1857522.125,True,0.0
6,rotation,-10.292438984608676,99455.6875,True,5.0
6,rotation,-7.5360886572993335,32182.2265625,True,10.0
6,rotation,-6.418914415590238,9273.3671875,True,15.0
6,rotation,-5.699466067732388,-6492.734375,False,20.0
6,rotation,-6.460036975918069,9918.0,True,25.0
6,rotation,-5.5498476874370235,-9028.0703125,False,30.0
6,rotation,-5.4471882359811445,-11891.6796875,False,35.0
6,rotation,-7.423091531020912,27746.28125,True,40.0
6,center_crop,-1.753471956887648,-158344.4375,False,0.1
6,center_crop,-6.957893363880942,37774.5,True,0.2
6,center_crop,-6.532924928170952,18747.671875,True,0.30000000000000004
6,center_crop,-7.589168901470093,43327.265625,True,0.4
6,center_crop,-7.8013088632743495,38306.46875,True,0.5
6,center_crop,-6.275753980655502,6053.390625,True,0.6000000000000001
6,center_crop,-10.929767986492026,130789.71875,True,0.7000000000000001
6,center_crop,-10.454660336858439,111073.515625,True,0.8
6,center_crop,-7.223377687613361,29707.84375,True,0.9
6,center_crop,-37.8081191336656,1857522.125,True,1.0
6,resize,-0.9940052265114512,-491748.0,False,0.1
6,resize,-0.05283014049820091,-359469.875,False,0.2
6,resize,-0.20608753263447263,-302349.90625,False,0.30000000000000004
6,resize,-0.26666609117563345,-243293.09375,False,0.4
6,resize,-0.9782626147990691,-162128.828125,False,0.5
6,resize,-2.297504614474508,-118438.9765625,False,0.6000000000000001
6,resize,-4.566862282290432,-45421.0546875,False,0.7000000000000001
6,resize,-4.803431765693245,-38008.203125,False,0.8
6,resize,-6.560268140474522,14947.53125,True,0.9
6,resize,-37.8081191336656,1857522.125,True,1.0
6,blur,-24.601622816752254,855158.0,True,3.0
6,blur,-18.985028544730866,498652.0625,True,5.0
6,blur,-15.975275630407468,352242.1875,True,7.0
6,blur,-14.459114766472918,276763.125,True,9.0
6,blur,-11.1110957874773,161820.703125,True,11.0
6,blur,-8.291231161252396,71342.078125,True,13.0
6,blur,-5.769544665327992,-7215.921875,False,15.0
6,blur,-4.073585362039036,-61831.734375,False,17.0
6,blur,-2.7845363181981377,-109645.59375,False,19.0
6,jpeg,-0.588307800408416,-238478.515625,False,10.0
6,jpeg,-1.7463643151281725,-159149.078125,False,20.0
6,jpeg,-3.371829684118778,-83452.1171875,False,30.0
6,jpeg,-4.003609827851783,-61582.671875,False,40.0
6,jpeg,-6.4295844319377355,12380.390625,True,50.0
6,jpeg,-8.072921070520643,58483.015625,True,60.0
6,jpeg,-9.643978247142032,105044.40625,True,70.0
6,jpeg,-13.076171457210373,238450.875,True,80.0
6,jpeg,-19.33396650295,479035.9375,True,90.0
6,jpeg,-29.54901752067159,1015266.4375,True,100.0
6,contrast,-0.2526067934209873,-43007.39453125,False,0.0
6,contrast,-28.954313896521953,1011603.75,True,0.5
